ID,ChannelInfo,OtherDirection,Counterparty,Balance,FeeBase,FeeProportional,Timelock, isClosed
235,117,234,43,8871,987,6000,49,0
236,118,237,83,753383,224,8000,38,0
237,118,236,43,46617,258,3000,19,0
238,119,239,75,7569500,603,1000,40,0
239,119,238,43,12430500,307,2000,73,0
240,120,241,51,149741,669,1000,53,0
241,120,240,43,10259,835,5000,55,0
242,121,243,85,100611,450,6000,69,0
243,121,242,44,79389,344,4000,46,0
244,122,245,47,18740,562,3000,88,0
245,122,244,45,1260,295,1000,27,0
246,123,247,70,172877,923,8000,99,0
247,123,246,45,7123,898,2000,45,0
248,124,249,86,381608619,657,9000,37,0
249,124,248,46,1418391381,404,5000,93,0
250,125,251,70,1948987,398,9000,16,0
251,125,250,46,51013,628,6000,20,0
252,126,253,28,538591255,270,3000,84,0
253,126,252,47,661408745,610,8000,21,0
254,127,255,55,11021860,712,2000,79,0
255,127,254,48,68978140,450,8000,88,0
256,128,257,88,750952394,697,8000,28,0
257,128,256,48,849047606,821,8000,24,0
258,129,259,89,106433,307,4000,69,0
259,129,258,49,53567,208,8000,70,0
260,130,261,85,1540778,603,7000,42,0
261,130,260,49,18459222,119,8000,69,0
262,131,263,87,3905,149,6000,14,0
263,131,262,50,36095,536,6000,72,0
264,132,265,35,1902913901,744,1000,39,0
265,132,264,50,2097086099,239,2000,20,0
266,133,267,65,20029683002,642,9000,75,0
267,133,266,50,19970316998,969,8000,96,0
268,134,269,91,28321,908,3000,39,0
269,134,268,51,31679,872,4000,64,0
270,135,271,37,2990474561,313,2000,90,0
271,135,270,52,3009525439,644,3000,14,0
272,136,273,97,37424148,607,6000,35,0
273,136,272,52,22575852,452,9000,69,0
274,137,275,93,34272160,572,4000,46,0
275,137,274,52,45727840,528,4000,81,0
276,138,277,24,18973,639,6000,54,0
277,138,276,53,1027,697,9000,33,0
278,139,279,59,11506677,486,4000,56,0
279,139,278,54,2493323,146,6000,43,0
280,140,281,60,591180729,492,4000,27,0
281,140,280,54,608819271,213,6000,89,0
282,141,283,79,52791,914,7000,96,0
283,141,282,55,67209,463,4000,71,0
284,142,285,63,1101169,710,6000,94,0
285,142,284,55,498831,171,3000,26,0
286,143,287,82,29976166252,687,2000,68,0
287,143,286,57,30023833748,460,8000,91,0
288,144,289,34,50050221332,824,7000,79,1
289,144,288,58,49949740449,398,9000,87,1
290,145,291,81,132995955,357,3000,12,0
291,145,290,58,67004045,732,9000,54,0
292,146,293,68,30357730851,316,4000,53,0
293,146,292,59,29642269149,453,6000,54,0
294,147,295,92,3820013664,402,7000,10,0
295,147,294,59,4179986336,497,3000,19,0
296,148,297,80,7667303,376,4000,75,0
297,148,296,61,4332697,542,2000,86,0
298,149,299,64,5172418925,484,4000,82,1
299,149,298,61,8827575145,344,5000,66,1
300,150,301,25,49927201646,183,2000,22,0
301,150,300,62,50072798354,864,4000,99,0
302,151,303,76,19535521,901,7000,78,0
303,151,302,62,464479,111,1000,14,0
304,152,305,76,71066913,676,2000,10,1
305,152,304,63,48933087,921,9000,84,1
306,153,307,51,72351200045,889,4000,50,0
307,153,306,63,87648799955,653,2000,41,0
308,154,309,97,135840424,595,1000,53,0
309,154,308,66,64159576,919,3000,80,0
310,155,311,74,296558846,921,5000,80,0
311,155,310,67,303441154,875,6000,92,0
312,156,313,86,56856,154,9000,11,0
313,156,312,68,143144,238,4000,83,0
314,157,315,30,29944014881,671,7000,77,0
315,157,314,69,30055983614,667,5000,21,0
316,158,317,25,46710325,969,8000,64,1
317,158,316,69,50786827,226,6000,61,1
318,159,319,57,10045560650,625,7000,89,0
319,159,318,69,9954439350,742,8000,27,0
320,160,321,46,2000000,535,2000,47,0
321,160,320,70,2000000,146,3000,67,0
322,161,323,75,128623371,321,3000,71,0
323,161,322,70,71376629,134,4000,37,0
324,162,325,87,134824,825,3000,68,0
325,162,324,71,665176,602,7000,97,0
326,163,327,94,30153670894,147,8000,62,0
327,163,326,72,29846329106,186,1000,92,0
328,164,329,87,3586635,170,8000,27,1
329,164,328,73,4413365,274,7000,11,1
330,165,331,24,86342031,626,4000,35,0
331,165,330,73,93656095,393,6000,28,0
332,166,333,97,20010495901,541,8000,42,1
333,166,332,74,19989504099,270,7000,89,1
334,167,335,79,502172,562,7000,59,0
335,167,334,77,7497828,379,1000,52,0
336,168,337,90,24310118,338,4000,29,0
337,168,336,78,75689882,100,2000,46,0
338,169,339,45,5007620325,257,8000,33,0
339,169,338,82,4992379675,106,1000,25,0
340,170,341,96,1589379,470,5000,39,0
341,170,340,82,210621,418,1000,78,0
342,171,343,58,904952197,354,7000,86,0
343,171,342,84,695047803,503,8000,94,0
344,172,345,88,58127,861,5000,58,0
345,172,344,84,1873,694,7000,28,0
346,173,347,72,8189201,748,5000,68,0
347,173,346,85,1810799,538,4000,96,0
348,174,349,82,182696,213,1000,83,0
349,174,348,85,417304,775,7000,74,0
350,175,351,79,3966975,584,1000,82,0
351,175,350,95,4033025,590,1000,99,0
352,176,353,74,40000447286,593,5000,21,0
353,176,352,99,39999552714,534,1000,19,0
